Code	Title	Price
NHIA-179-006	NHIA-179-006 - Abdominal Pelvic Scan	5530.00
NHIA-179-007	NHIA-179-007 - Prostate Scan	5530.00
NHIA-179-008	NHIA-179-008 - Thyroid Scan	5530.00
NHIA-179-009	NHIA-179-009 - Testes/Scrotal Scan (Each)	5530.00
NHIA-179-010	NHIA-179-010 - Ovulometry/Transvaginal Scan	5530.00
NHIA-179-011	NHIA-179-011 - Trans-Fontanelle (Children)	5530.00
NHIA-179-012	NHIA-179-012 - Doppler Scan	7000.00
NHIA-179-013	NHIA-179-013 - Ocular scan	7000.00
NHIA-180-001	NHIA-180-001 - Packed Cell Volume (PCV)	840.00
NHIA-180-002	NHIA-180-002 - Haemoglobin (HB)	840.00
NHIA-180-003	NHIA-180-003 - White Blood Cell Count (WBC)	840.00
NHIA-180-004	NHIA-180-004 - Differential White Blood Cell Count (WBC-Diff)	910.00
NHIA-180-005	NHIA-180-005 - Total White Cell Count (WBC)	2500.00
NHIA-180-006	NHIA-180-006 - Erythrocyte Sedimentation Rate (ESR)	630.00
NHIA-180-007	NHIA-180-007 - Blood Film for Malarial Parasites (MP)	630.00
NHIA-180-008	NHIA-180-008 - Widal Test	980.00
NHIA-180-009	NHIA-180-009 - Blood Grouping (ABO & Rh)	700.00
NHIA-180-010	NHIA-180-010 - VDRL	980.00
NHIA-180-011	NHIA-180-011 - Blood Microfilaria	560.00
NHIA-180-012	NHIA-180-012 - Urine Microscopy	560.00
NHIA-180-013	NHIA-180-013 - Urinalysis	560.00
NHIA-180-014	NHIA-180-014 - Pregnancy Test (Urine)	560.00
NHIA-180-015	NHIA-180-015 - Stool Analysis (R/E Only)	560.00
NHIA-180-016	NHIA-180-016 - Blood Sugar (FBS/ RBS)	910.00
NHIA-180-017	NHIA-180-017 - HB Genotype	1190.00
NHIA-180-018	NHIA-180-018 - Blood film comments	770.00
NHIA-181-001	NHIA-181-001 - a) Sodium	630.00
NHIA-181-002	NHIA-181-002 - b) Potassium	630.00
NHIA-181-003	NHIA-181-003 - c) Chloride	630.00
NHIA-181-004	NHIA-181-004 - d) Bicarbonate	630.00
NHIA-181-005	NHIA-181-005 - Urea	840.00
NHIA-181-006	NHIA-181-006 - Creatinine	840.00
NHIA-181-007	NHIA-181-007 - Liver Function Tests-(a-h)	3850.00
NHIA-181-008	NHIA-181-008 - a) Unconjugated Bilirubin	770.00
NHIA-181-009	NHIA-181-009 - b) Conjugated Bilirubin	770.00
NHIA-181-010	NHIA-181-010 - c) Alkaline Phosphatase	770.00
NHIA-181-011	NHIA-181-011 - d) Alanine Aminotransferase (SGPT)	770.00
NHIA-181-012	NHIA-181-012 - e) Aspartate Aminotransferase (SGOT)	770.00
NHIA-181-013	NHIA-181-013 - f) Total Protein	910.00
NHIA-181-014	NHIA-181-014 - g) Albumin	910.00
